country,Region,Region code (ASGS),Indicator,Unit,Amount,Year,population
Australia,Victoria,2,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"2,953,553",2018,"6,462,019"
Australia,Victoria,2,Total water use by households (a),ML,"400,090",2018,"6,462,019"
Australia,Victoria,2,Total water use (a),ML,"11,642,021",2018,"6,462,019"
Australia,Victoria,2,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,353,643",2018,"6,462,019"
Australia,Victoria,2,Gross Value Added (GVA); Chain volume measures,$m,"396,274",2018,"6,462,019"
Australia,Victoria,2,Estimated population as of 30 June,persons,"6,462,019",2018,"6,462,019"
Australia,Victoria,2,Estimated number of households at 30 June,households,"2,456,913",2018,"6,462,019"
Australia,Victoria,2,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.52,2018,"6,462,019"
Australia,Victoria,2,Total household water use per household ,ML,0.16,2018,"6,462,019"
Australia,Queensland,3,Total water use by industry (a),ML,"6,327,921",2018,"5,009,424"
Australia,Queensland,3,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,117,728",2018,"5,009,424"
Australia,Queensland,3,Total water use by households (a),ML,"339,465",2018,"5,009,424"
Australia,Queensland,3,Total water use (a),ML,"6,667,386",2018,"5,009,424"
Australia,Queensland,3,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,457,194",2018,"5,009,424"
Australia,Queensland,3,Gross Value Added (GVA); Chain volume measures,$m,"318,022",2018,"5,009,424"
Australia,Queensland,3,Estimated population as of 30 June,persons,"5,009,424",2018,"5,009,424"
Australia,Queensland,3,Estimated number of households at 30 June,households,"1,895,389",2018,"5,009,424"
Australia,Queensland,3,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.69,2018,"5,009,424"
Australia,Queensland,3,Total household water use per household ,ML,0.18,2018,"5,009,424"
Australia,South Australia,4,Total water use by industry (a),ML,"1,259,141",2018,"1,736,527"
Australia,South Australia,4,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"735,528",2018,"1,736,527"
Australia,South Australia,4,Total water use by households (a),ML,"136,715",2018,"1,736,527"
Australia,South Australia,4,Total water use (a),ML,"1,395,857",2018,"1,736,527"
Australia,South Australia,4,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"872,244",2018,"1,736,527"
Australia,South Australia,4,Gross Value Added (GVA); Chain volume measures,$m,"97,804",2018,"1,736,527"
Australia,South Australia,4,Estimated population as of 30 June,persons,"1,736,527",2018,"1,736,527"
Australia,South Australia,4,Estimated number of households at 30 June,households,"711,517",2018,"1,736,527"
Australia,South Australia,4,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.50,2018,"1,736,527"
Australia,South Australia,4,Total household water use per household ,ML,0.19,2018,"1,736,527"
Australia,Western Australia,5,Total water use by industry (a),ML,"4,017,051",2018,"2,594,181"
Australia,Western Australia,5,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"1,234,686",2018,"2,594,181"
Australia,Western Australia,5,Total water use by households (a),ML,"235,924",2018,"2,594,181"
Australia,Western Australia,5,Total water use (a),ML,"4,252,975",2018,"2,594,181"
Australia,Western Australia,5,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"1,470,610",2018,"2,594,181"
Australia,Western Australia,5,Gross Value Added (GVA); Chain volume measures,$m,"246,185",2018,"2,594,181"
Australia,Western Australia,5,Estimated population as of 30 June,persons,"2,594,181",2018,"2,594,181"
Australia,Western Australia,5,Estimated number of households at 30 June,households,"994,761",2018,"2,594,181"
Australia,Western Australia,5,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.57,2018,"2,594,181"
Australia,Western Australia,5,Total household water use per household ,ML,0.24,2018,"2,594,181"
Australia,Tasmania,6,Total water use by industry (a),ML,"37,234,838",2018,"528,298"
Australia,Tasmania,6,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"366,236",2018,"528,298"
Australia,Tasmania,6,Total water use by households (a),ML,"38,636",2018,"528,298"
Australia,Tasmania,6,Total water use (a),ML,"37,273,474",2018,"528,298"
Australia,Tasmania,6,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"404,872",2018,"528,298"
Australia,Tasmania,6,Gross Value Added (GVA); Chain volume measures,$m,"28,293",2018,"528,298"
Australia,Tasmania,6,Estimated population as of 30 June,persons,"528,298",2018,"528,298"
Australia,Tasmania,6,Estimated number of households at 30 June,households,"224,945",2018,"528,298"
Australia,Tasmania,6,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.77,2018,"528,298"
Australia,Tasmania,6,Total household water use per household ,ML,0.17,2018,"528,298"
Australia,Northern Territory,7,Total water use by industry (a),ML,"208,776",2018,"247,058"
Australia,Northern Territory,7,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"132,806",2018,"247,058"
Australia,Northern Territory,7,Total water use by households (a),ML,"25,820",2018,"247,058"
Australia,Northern Territory,7,Total water use (a),ML,"234,596",2018,"247,058"
Australia,Northern Territory,7,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"158,626",2018,"247,058"
Australia,Northern Territory,7,Gross Value Added (GVA); Chain volume measures,$m,"22,520",2018,"247,058"
Australia,Northern Territory,7,Estimated population as of 30 June,persons,"247,058",2018,"247,058"
Australia,Northern Territory,7,Estimated number of households at 30 June,households,"79,945",2018,"247,058"
Australia,Northern Territory,7,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.64,2018,"247,058"
Australia,Northern Territory,7,Total household water use per household ,ML,0.32,2018,"247,058"
Australia,Australian Capital Territory,8,Total water use by industry (a),ML,"61,610",2018,"420,379"
Australia,Australian Capital Territory,8,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"11,895",2018,"420,379"
Australia,Australian Capital Territory,8,Total water use by households (a),ML,"32,337",2018,"420,379"
Australia,Australian Capital Territory,8,Total water use (a),ML,"93,947",2018,"420,379"
Australia,Australian Capital Territory,8,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"44,232",2018,"420,379"
Australia,Australian Capital Territory,8,Gross Value Added (GVA); Chain volume measures,$m,"35,619",2018,"420,379"
Australia,Australian Capital Territory,8,Estimated population as of 30 June,persons,"420,379",2018,"420,379"
Australia,Australian Capital Territory,8,Estimated number of households at 30 June,households,"164,573",2018,"420,379"
Australia,Australian Capital Territory,8,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.11,2018,"420,379"
Australia,Australian Capital Territory,8,Total household water use per household ,ML,0.20,2018,"420,379"
Australia,Australia,0,Total water use by industry (a),ML,"80,587,160",2018,"24,978,054"
Australia,Australia,0,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"13,388,181",2018,"24,978,054"
Australia,Australia,0,Total water use by households (a),ML,"1,806,552",2018,"24,978,054"
Australia,Australia,0,Total water use (a),ML,"82,393,712",2018,"24,978,054"
Australia,Australia,0,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"15,194,733",2018,"24,978,054"
Australia,Australia,0,Gross Value Added (GVA); Chain volume measures,$m,"1,690,257",2018,"24,978,054"
Australia,Australia,0,Estimated population as of 30 June,persons,"24,978,054",2018,"24,978,054"
Australia,Australia,0,Estimated number of households at 30 June,households,"9,531,908",2018,"24,978,054"
Australia,Australia,0,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.61,2018,"24,978,054"
Australia,Australia,0,Total household water use per household ,ML,0.19,2018,"24,978,054"
Australia,Australia,0,Total water consumption (b),ML,"14,827,359",2018,"24,978,054"
Australia,Australia,0,Water intensity (c),ML/$m GVA,8.77,2018,"24,978,054"
Australia,Australia,0,Water productivity (d),$m GVA/ML,0.11,2018,"24,978,054"
